name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
New York,2023-06-06,76.3,62.2,68,76.3,62.2,68,44.6,43.1,0.025,100,16.67,rain,0,0,28.9,12.6,316.4,1004.8,71.8,5.3,229.9,19.9,9,10,2023-06-06T05:25:13,2023-06-06T20:23:56,0.59,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-07,69,58,64.1,69,58,64.1,42,45.1,0,0,0,,0,0,27.7,14.4,307.8,1003.5,84,3,142,12.3,6,10,2023-06-07T05:24:58,2023-06-07T20:24:32,0.63,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-08,70.3,56.4,63.3,70.3,56.4,63.3,44.9,51.8,0,0,0,,0,0,18.6,10.1,324.8,1005.7,85.5,4.2,227.1,19.6,8,10,2023-06-08T05:24:44,2023-06-08T20:25:08,0.66,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-09,72.1,58.5,64.9,72.1,58.5,64.9,47.7,54.4,0.011,100,4.17,rain,0,0,18.3,10.6,323.3,1006.8,76.8,9.8,269.3,23.3,9,10,2023-06-09T05:24:33,2023-06-09T20:25:41,0.7,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-10,76.1,58.7,67.7,76.1,58.7,67.7,49.5,53.7,0,0,0,,0,0,23,13.8,302.7,1008.3,50.4,9.8,289.2,24.9,9,10,2023-06-10T05:24:23,2023-06-10T20:26:13,0.75,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-11,79.2,65,71.5,79.2,65,71.5,58.7,65,0.022,100,16.67,rain,0,0,29.2,14.3,122.9,1010.8,61.9,8.4,256.8,22,8,10,2023-06-11T05:24:16,2023-06-11T20:26:44,0.77,"Rain, Partially cloudy",Partly cloudy throughout the day with early morning rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-12,77.1,67.2,71,77.1,67.2,71,63.4,77.5,0.155,100,16.67,rain,0,0,26.4,17.7,132.8,1007.1,80.3,7.7,159.6,13.8,7,10,2023-06-12T05:24:10,2023-06-12T20:27:13,0.8,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-13,78.6,64.5,71.1,78.6,64.5,71.1,54.5,59.2,0,0,0,,0,0,21.9,13.6,281.7,1004.3,65.5,9.7,312.8,26.9,10,10,2023-06-13T05:24:07,2023-06-13T20:27:40,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-14,74.2,64.8,68.6,74.2,64.8,68.6,55.5,63.6,0.267,100,20.83,rain,0,0,35.6,17.1,222,1001.3,51.9,9.7,209,18,6,30,2023-06-14T05:24:05,2023-06-14T20:28:06,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-15,77.7,61.9,69.8,77.7,61.9,69.8,53.1,56.3,0,0,0,,0,0,32.2,15.5,286.9,1003,56.4,9.9,239.8,20.7,7,10,2023-06-15T05:24:06,2023-06-15T20:28:30,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-16,79.1,64.5,69.2,79.1,64.5,69.2,55.8,63.9,0.196,100,12.5,rain,0,0,26.4,11,74.3,1006,63,9.2,182.8,15.9,7,10,2023-06-16T05:24:08,2023-06-16T20:28:53,0.95,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-17,77.4,62.3,68.3,77.4,62.3,68.3,53.4,61.5,0,0,0,,0,0,33.3,17.7,320.3,1004.8,75.6,9,275.5,23.7,9,10,2023-06-17T05:24:12,2023-06-17T20:29:13,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-18,79.3,64.1,71.7,79.3,64.1,71.7,52.7,51.6,0,0,0,,0,0,23,12.9,304.8,1010.1,55.6,9.4,286.3,24.7,8,10,2023-06-18T05:24:18,2023-06-18T20:29:32,0,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-19,78.1,65.4,71,78.1,65.4,71,57.7,63.2,0,0,0,,0,0,18.3,11.4,68.2,1017,41.3,9.9,319.3,27.7,10,10,2023-06-19T05:24:26,2023-06-19T20:29:49,0.05,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-20,75,63.4,68.5,75,63.4,68.5,56.9,67.8,0,0,0,,0,0,17.7,11.5,68.4,1022.2,76.7,9.8,274.9,23.9,9,10,2023-06-20T05:24:36,2023-06-20T20:30:04,0.08,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-21,71.4,61.7,65.9,71.4,61.7,65.9,54.2,66.4,0,0,0,,0,0,26.2,17.6,63.2,1024.4,75.9,9.9,226.9,19.8,7,10,2023-06-21T05:24:48,2023-06-21T20:30:17,0.11,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-22,70.8,60.5,65.2,70.8,60.5,65.2,55.4,71,0.005,100,4.17,rain,0,0,26.7,16.6,57.7,1021.2,97.3,9.1,152.7,13,6,10,2023-06-22T05:25:01,2023-06-22T20:30:29,0.15,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-23,71.8,64.6,67.5,71.8,64.6,67.5,63.3,86.3,0.048,100,12.5,rain,0,0,21.9,8.6,106.3,1016.8,98.2,8.4,111.5,9.6,3,10,2023-06-23T05:25:17,2023-06-23T20:30:38,0.18,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-24,76.8,68,72.1,76.8,68,72.1,67.7,86.2,0.042,100,20.83,rain,0,0,15.4,12.8,152.7,1010.9,83.9,7.6,205.5,17.8,7,30,2023-06-24T05:25:34,2023-06-24T20:30:46,0.21,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-25,80.6,69.3,74.7,83.7,69.3,75.1,67.8,79.7,0.008,100,4.17,rain,0,0,16.3,11.6,122.3,1009.5,45.9,9.1,238.6,20.7,8,30,2023-06-25T05:25:53,2023-06-25T20:30:51,0.24,"Rain, Partially cloudy",Becoming cloudy in the afternoon with afternoon rain.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
New York,2023-06-26,77.6,69.7,73,77.6,69.7,73,67.7,84,0.108,100,20.83,rain,0,0,21.9,10.7,95.3,1007.7,69.7,7.9,166.7,14.6,7,10,2023-06-26T05:26:13,2023-06-26T20:30:55,0.25,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"72505394728,KJFK,KLGA,74486094789,F8726,KNYC,72503014732"
